serial_number,item_name,item_alias,part_number,model,remarks,stock_group,product_name,brand,category_id,subcategory_id,price,min_stock,current_stock,image_link
SN001,Agricultural Chaffcutter VP-01,666487,PN001,Model 1,Remark 1,Group 1,Agricultural Chaffcutter VP-01,Brand 1,1,24,1500.00,5,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN002,Agricultural chaff cutter VP-01 with 1.5 Hp SM&Acc,666487,PN002,Model 2,Remark 2,Group 1,Agricultural chaff cutter VP-01,Brand 1,1,24,1700.00,10,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN003,Agricultural Chaff Cutter VP-01 With 2HP BN & Acces,666487,PN003,Model 3,Remark 3,Group 1,Agricultural Chaff Cutter VP-01,Brand 1,1,24,1800.00,15,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN004,Agricultural Chaff Cutter VP-01 With 2HP SM & Acces,666487,PN004,Model 4,Remark 4,Group 1,Agricultural Chaff Cutter VP-01,Brand 1,1,24,1900.00,20,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN005,Agricultural Chaffcutter VP-02,666488,PN005,Model 5,Remark 5,Group 1,Agricultural Chaffcutter VP-02,Brand 1,1,24,2000.00,5,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN006,Agricultural Chaff Cutter VP-02 With 2HP SM & Acces,666488,PN006,Model 6,Remark 6,Group 1,Agricultural Chaff Cutter VP-02,Brand 1,1,24,2100.00,10,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN007,Agricultural Chaff Cutter VP-03,666489,PN007,Model 7,Remark 7,Group 1,Agricultural Chaff Cutter VP-03,Brand 1,1,24,2200.00,15,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN008,Agricultural Chaff Cutter VP-03 with 2HP Sm&Acc,666489,PN008,Model 8,Remark 8,Group 1,Agricultural Chaff Cutter VP-03,Brand 1,1,24,2300.00,20,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN009,Agricultural Chaff Cutter VP-04,666490,PN009,Model 9,Remark 9,Group 1,Agricultural Chaff Cutter VP-04,Brand 1,1,24,2400.00,5,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN010,Agricultural Chaff Cutter VP-05,666491,PN010,Model 10,Remark 10,Group 1,Agricultural Chaff Cutter VP-05,Brand 1,1,24,2500.00,10,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN011,110x90 Reducer Bush,IR0135,PN011,Model 11,Remark 11,Group 2,Reducer Bush,Brand 2,4,27,100.00,50,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN012,1 1/4 Clamb Ss Original,IR0135,PN012,Model 12,Remark 12,Group 2,Clamb Ss Original,Brand 2,4,28,110.00,45,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN013,12mm Bit,IR0135,PN013,Model 13,Remark 13,Group 2,12mm Bit,Brand 2,4,28,120.00,40,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN014,12mm Drillbit Neta Type SDI,IR-00084,PN014,Model 14,Remark 14,Group 2,Drillbit Neta Type SDI,Brand 2,4,28,130.00,35,35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN015,12MM Joiner Black SDI,IR-00078,PN015,Model 15,Remark 15,Group 2,Joiner Black SDI,Brand 2,4,28,140.00,30,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
